datetime,open,high,low,close,volume
2024-08-16 15:59:00,225.86000,226.10001,225.79050,226.10001,411741
2024-08-16 15:58:00,226.00999,226.02000,225.81000,225.85001,226269
2024-08-16 15:57:00,226.07001,226.08690,225.98000,226.00999,156152
2024-08-16 15:56:00,226.11000,226.14000,225.89999,226.06000,156953
2024-08-16 15:55:00,225.83000,226.14000,225.81000,226.11000,203415
2024-08-16 15:54:00,225.91000,225.92000,225.78999,225.81000,146407
2024-08-16 15:53:00,225.69501,225.92999,225.66000,225.91010,107956
2024-08-16 15:52:00,225.74001,225.85001,225.67999,225.69000,90719
2024-08-16 15:51:00,225.67500,225.75990,225.53999,225.74001,144829
2024-08-16 15:50:00,225.58000,225.69780,225.55000,225.67999,155119
2024-08-16 15:49:00,225.73500,225.77000,225.59000,225.59990,72790
2024-08-16 15:48:00,225.81990,225.87000,225.62000,225.74820,110153
2024-08-16 15:47:00,225.66800,225.83000,225.58141,225.83000,139720
2024-08-16 15:46:00,225.77000,225.78999,225.66000,225.66000,100117
2024-08-16 15:45:00,225.83000,225.85500,225.69000,225.80000,91940
2024-08-16 15:44:00,225.93201,225.97000,225.82001,225.82001,73805
2024-08-16 15:43:00,226.00990,226.02000,225.91679,225.94000,70348
2024-08-16 15:42:00,226.01500,226.11501,226.00000,226.02000,70133
2024-08-16 15:41:00,226.12000,226.14000,226.02000,226.03000,100800
2024-08-16 15:40:00,226.03999,226.14000,226.03000,226.13000,78738
2024-08-16 15:39:00,225.94009,226.04601,225.92000,226.04420,107198
2024-08-16 15:38:00,226.03999,226.03999,225.93010,225.94501,43850
2024-08-16 15:37:00,226.05000,226.05000,226.00011,226.03500,50089
2024-08-16 15:36:00,226.07001,226.09000,226.01500,226.05000,48373
2024-08-16 15:35:00,226.07500,226.09000,226.03999,226.07500,62897
2024-08-16 15:34:00,226.04671,226.08990,226.03999,226.07001,42172
2024-08-16 15:33:00,226.00000,226.06000,225.95000,226.03720,43654
2024-08-16 15:32:00,225.96500,226.08000,225.95000,226.02000,45850
2024-08-16 15:31:00,225.92999,225.99500,225.92500,225.98000,49699
2024-08-16 15:30:00,225.96049,226.00000,225.92000,225.92940,50468
2024-08-16 15:29:00,226.03979,226.05000,225.95120,225.96001,46960
2024-08-16 15:28:00,225.94501,226.04201,225.94000,226.04201,42594
2024-08-16 15:27:00,226.05380,226.06000,225.80000,225.94020,116775
2024-08-16 15:26:00,226.10500,226.14900,226.06000,226.06000,52902
2024-08-16 15:25:00,226.11990,226.14000,226.09000,226.10001,60472
2024-08-16 15:24:00,226.16000,226.17000,226.13000,226.14000,30932
2024-08-16 15:23:00,226.14999,226.17999,226.12000,226.14999,38594
2024-08-16 15:22:00,226.11501,226.17000,226.11000,226.16499,39909
2024-08-16 15:21:00,226.14000,226.16499,226.04021,226.11990,40245
2024-08-16 15:20:00,226.20000,226.21001,226.07001,226.15500,48964
2024-08-16 15:19:00,226.15500,226.21001,226.14999,226.21001,48924
2024-08-16 15:18:00,226.15500,226.19820,226.13029,226.16000,40569
2024-08-16 15:17:00,226.10500,226.17999,226.10001,226.15500,28318
2024-08-16 15:16:00,226.17999,226.17999,226.11000,226.12140,26704
2024-08-16 15:15:00,226.11000,226.17880,226.08000,226.17500,37447
2024-08-16 15:14:00,226.16000,226.19000,226.10001,226.11000,33946
2024-08-16 15:13:00,226.10001,226.17000,226.09000,226.16380,44402
2024-08-16 15:12:00,226.12160,226.17999,226.09000,226.09000,71520
2024-08-16 15:11:00,226.07001,226.13000,226.06500,226.12990,42919
2024-08-16 15:10:00,226.07001,226.09000,225.98000,226.07500,54177
2024-08-16 15:09:00,226.04720,226.08000,226.03000,226.07001,38466
2024-08-16 15:08:00,226.03000,226.08000,226.03000,226.07001,22118
2024-08-16 15:07:00,226.12000,226.12000,226.00999,226.03000,34433
2024-08-16 15:06:00,226.10500,226.14000,226.06090,226.12500,31797
2024-08-16 15:05:00,226.11000,226.14000,226.06000,226.10001,35898
2024-08-16 15:04:00,226.07500,226.11000,225.97000,226.11000,36624
2024-08-16 15:03:00,226.12000,226.13499,226.08000,226.08000,25772
2024-08-16 15:02:00,226.11000,226.12000,226.08501,226.10201,19802
2024-08-16 15:01:00,226.09000,226.11000,226.04500,226.11000,24413
2024-08-16 15:00:00,226.12399,226.12399,226.02000,226.08000,59091
2024-08-16 14:59:00,226.11000,226.16499,226.07500,226.13000,33478
2024-08-16 14:58:00,226.13000,226.14999,226.09000,226.11000,30846
2024-08-16 14:57:00,226.14500,226.14500,226.10001,226.13989,32445
2024-08-16 14:56:00,226.13000,226.16000,226.11000,226.14999,32801
2024-08-16 14:55:00,226.08501,226.13499,226.07561,226.13499,33405
2024-08-16 14:54:00,226.00011,226.13499,226.00011,226.08400,42891
2024-08-16 14:53:00,226.02000,226.03000,225.99500,226.00000,24453
2024-08-16 14:52:00,225.96230,226.03999,225.96230,226.03000,22465
2024-08-16 14:51:00,225.96800,226.02010,225.96001,225.97000,36172
2024-08-16 14:50:00,226.02000,226.02000,225.94000,225.96001,24236
2024-08-16 14:49:00,225.91000,226.02000,225.91000,226.02000,30262
2024-08-16 14:48:00,225.88000,225.89999,225.76360,225.88000,45953
2024-08-16 14:47:00,225.89030,225.91499,225.88000,225.88451,36984
2024-08-16 14:46:00,225.89500,225.91991,225.85001,225.89000,32066
2024-08-16 14:45:00,225.86501,225.91000,225.85001,225.89500,36134
2024-08-16 14:44:00,225.98000,225.98000,225.85001,225.85001,32834
2024-08-16 14:43:00,226.00200,226.00200,225.89999,225.94000,43460
2024-08-16 14:42:00,226.14000,226.14799,225.98250,226.00999,42268
2024-08-16 14:41:00,226.17000,226.17999,226.13499,226.13499,29152
2024-08-16 14:40:00,226.15849,226.17999,226.10001,226.17000,29699
2024-08-16 14:39:00,226.11000,226.16620,226.08000,226.15990,48074
2024-08-16 14:38:00,226.12500,226.16010,226.06000,226.10010,35238
2024-08-16 14:37:00,226.14500,226.14999,226.09500,226.12010,46259
2024-08-16 14:36:00,226.00999,226.14011,226.00999,226.14011,56244
2024-08-16 14:35:00,225.96001,226.02000,225.96001,226.00999,39915
2024-08-16 14:34:00,225.92999,225.96001,225.92999,225.95000,25176
2024-08-16 14:33:00,225.92500,225.94000,225.88000,225.92000,27938
2024-08-16 14:32:00,225.91000,225.91000,225.88000,225.91000,42276
2024-08-16 14:31:00,225.92000,225.92999,225.82001,225.89999,42185
2024-08-16 14:30:00,225.98500,226.03999,225.88000,225.91000,53040
2024-08-16 14:29:00,225.99001,225.99001,225.96001,225.99001,26053
2024-08-16 14:28:00,225.96001,225.98990,225.95190,225.98129,22047
2024-08-16 14:27:00,225.96150,225.99001,225.94000,225.97501,34880
2024-08-16 14:26:00,225.96010,225.98640,225.93390,225.96001,726423
